 (-77.0091995 -11.8604679, -77.009575 -11.8606044),C.3-C.2,
 (-77.0091995 -11.8604679, -77.0096394 -11.8592656, -77.0098701 -11.8586829, -77.0093068 -11.8580004, -77.0094785 -11.8573652),C.3-Aux.Universitaria,
 (-77.0095911 -11.8605519, -77.0101222 -11.8590294, -77.0102348 -11.8591659, -77.0103368 -11.8593339, -77.0104816 -11.8593601, -77.0107552 -11.8587249),C.2-Aux.Universitaria,
 (-77.0104816 -11.8593601, -77.0104279 -11.859573, -77.011769 -11.8608802),C.2-ParquePacayal,
 (-77.0107215 -11.8651453, -77.0105954 -11.8653264),SanMartin-TupacAmaru,
 (-77.0108932 -11.865077, -77.0107483 -11.865119),SanMartin-Pinos,
 (-77.010928 -11.8650718, -77.0110246 -11.8645993, -77.0111989 -11.8643814, -77.0116769 -11.8642065, -77.0120565 -11.8640351),SanMartin-LosCedros,
 (-77.011304 -11.8559997, -77.0116849 -11.8561992, -77.0111378 -11.8570497),Ca.Pazos-ParqueFlorida,
 (-77.011549 -11.8657595, -77.0116133 -11.8661637),Cedros-Robles,
 (-77.0116133 -11.8662398, -77.0115624 -11.8669275),Cedros-TupacAmaru,
 (-77.0117263 -11.8608806, -77.0115064 -11.8616103, -77.0113991 -11.8619883, -77.0111094 -11.8627181, -77.011957 -11.862949),ParquePacayal-VirgenDelCarmen,
 (-77.0119532 -11.8655242, -77.0115334 -11.8657185),SanIsidro-Cedros,
 (-77.0119599 -11.8654599, -77.0117292 -11.8650951, -77.0115481 -11.8649048, -77.011233 -11.8646764, -77.0110439 -11.8645425),Chontas-SanMartin,
 (-77.0121369 -11.8654665, -77.011976 -11.8655098),SanIsidro-Chontas,
 (-77.0121677 -11.8654101, -77.0117694 -11.8644979, -77.0116769 -11.8642065),Eucaliptos-SanMartin,
 (-77.0122255 -11.8635758, -77.0119171 -11.8634314),Margaritas-VirgenDelCarmen,
 (-77.0122872 -11.8636598, -77.0121611 -11.8639091, -77.0120834 -11.8640089, -77.0121638 -11.8640666),SanMartin-SanFrancisco,
 (-77.012315 -11.8635902, -77.0126073 -11.8626347),SanMartin-SantaMartha,
 (-77.0125152 -11.8650956, -77.0120565 -11.8640351),Ciruelos-SanMartin,
 (-77.0125365 -11.8652762, -77.0121825 -11.8654442),SanIsidro-Eucaliptos,
 (-77.0126413 -11.8652137, -77.0127941 -11.8647281, -77.0128692 -11.864547),SanIsidro-SanFrancisco,
 (-77.0126623 -11.8609251, -77.0122331 -11.8604631, -77.0116323 -11.8597228, -77.01123 -11.8593028, -77.0104361 -11.8582791, -77.0101196 -11.8579116, -77.0095241 -11.8573394, -77.0090842 -11.8570664, -77.0100659 -11.8557171, -77.0103073 -11.8555281),Av.Universitaria-Ca.Pazos,
 (-77.0126771 -11.8609701, -77.0120655 -11.8628916, -77.0119046 -11.8634848, -77.0116578 -11.8636843, -77.010939 -11.8639888, -77.0106761 -11.8642828, -77.0105581 -11.8646345, -77.0105045 -11.8652435),VirgenDelCarmen-TupacAmaru,
 (-77.0128478 -11.8658122, -77.0125876 -11.8652505),Ciruelos-SanIsidro,
 (-77.0129319 -11.8634196, -77.012492 -11.8630679),SantaElena-SanMartin,
 (-77.0129828 -11.8634483, -77.0135434 -11.8638132),SantaElena-SantaAna,
 (-77.0130097 -11.862892, -77.0122587 -11.862346),SantaMarta-VirgenDelCarmen,
 (-77.0132421 -11.8648672, -77.0129041 -11.8658516),SantaAna-Ciruelos,
 (-77.0132849 -11.8565802, -77.0115683 -11.8556352, -77.0108334 -11.8552415, -77.0106456 -11.855147, -77.0102594 -11.8555092, -77.0112357 -11.8559922),FedericoVillareal-Ca.Pazos,
 (-77.0133851 -11.8643539, -77.0132617 -11.8647713),SantaAna-SanFrancisco,
 (-77.0135085 -11.8639051, -77.0134039 -11.8642909),SantaAna-Margaritas,
 (-77.0135679 -11.8637398, -77.0137128 -11.863396),SantaAna-SantaMartha,
 (-77.0137919 -11.8645969, -77.0131616 -11.8641533, -77.0123462 -11.8636519, -77.0122899 -11.8636257),Margaritas-SanMartin,
 (-77.0138307 -11.864569, -77.0141003 -11.8637028),Luzmila-Gorriones,
 (-77.013847 -11.8634528, -77.012463 -11.86166),Gorriones-VirgenDelCarmen,
 (-77.01404 -11.8636453, -77.0138308 -11.8634327, -77.0130744 -11.8629314),Gorriones-SantaMarta,
 (-77.0141204 -11.8636941, -77.0153301 -11.8650301),Gorriones-Pacayal,
 (-77.0141855 -11.8586947, -77.0135686 -11.8577786, -77.0130697 -11.8570594, -77.0128337 -11.8568441, -77.0127827 -11.856894, -77.0125386 -11.8572799, -77.0122436 -11.8577655, -77.0124876 -11.857965, -77.0125842 -11.857986, -77.0130268 -11.8573429),Rosales-ParquePlanicie,
 (-77.0142703 -11.8628916, -77.01353 -11.8619623, -77.0129989 -11.8612589, -77.0126771 -11.8609701),Aux.Universitaria-VirgenDelCarmen,
 (-77.0143323 -11.8630326, -77.0141097 -11.8636547),Luzmila-Gorriones,
 (-77.0143946 -11.8641192, -77.0139413 -11.8645076, -77.0138528 -11.8645733),Colibries-Luzmila,
 (-77.0144268 -11.864118, -77.0144671 -11.8640917),Gorriones-Colibries,
 (-77.0148392 -11.865458, -77.0137958 -11.8646259),Margaritas-Luzmilla,
 (-77.0150542 -11.8654529, -77.0155075 -11.8658309, -77.0158562 -11.8660697),Margaritas-AgustinGamarra,
 (-77.0151086 -11.8598707, -77.014768 -11.8595295, -77.0144247 -11.8589914, -77.014202 -11.8587735),Rosales-Calle4,
 (-77.0151554 -11.8624716, -77.0163463 -11.8609911),Virrareal-Chayan,
 (-77.015645 -11.8734871, -77.021857 -11.8697914, -77.0224041 -11.8690459, -77.0231122 -11.868164, -77.024507 -11.866883, -77.0254082 -11.8661165),Tupac - M.Prado,
