WKT,Nombre,Descripción
"POINT (-77.0479375 -11.8965021)",Interseccion1,
"POINT (-77.0474722 -11.8967672)",Interseccion2,
"POINT (-77.047206 -11.8952541)",Interseccion3,
"POINT (-77.0467601 -11.8954929)",Interseccion4,
"POINT (-77.0472362 -11.8963315)",Interseccion5,
"POINT (-77.0467981 -11.8965524)",Interseccion6,
"POINT (-77.0465567 -11.8961325)",Interseccion7,
"POINT (-77.0455126 -11.8966802)",Interseccion8,
"POINT (-77.0447831 -11.8954099)",Interseccion9,
"POINT (-77.0458343 -11.8948631)",Interseccion10,
"POINT (-77.0462706 -11.8946307)",Interseccion11,
"POINT (-77.0460008 -11.894192)",Interseccion12,
"POINT (-77.0445417 -11.8949899)",Interseccion13,
"POINT (-77.0440908 -11.8952371)",Interseccion14,
"POINT (-77.0438367 -11.8947412)",Interseccion15,
"POINT (-77.044282 -11.8945102)",Interseccion16,
"POINT (-77.0453354 -11.89398)",Interseccion17,
"POINT (-77.0457561 -11.8937313)",Interseccion18,
"POINT (-77.0461702 -11.8934866)",Interseccion19,
"POINT (-77.0450136 -11.8935443)",Interseccion20,
"POINT (-77.0440767 -11.8940829)",Interseccion21,
"POINT (-77.0444932 -11.8928514)",Interseccion22,
"POINT (-77.0436476 -11.8933375)",Interseccion23,
"POINT (-77.0441767 -11.8924577)",Interseccion24,
"POINT (-77.0434035 -11.8929124)",Interseccion25,
"POINT (-77.0429376 -11.8931251)",Interseccion26,
"POINT (-77.0446166 -11.8922215)",Interseccion27,
"POINT (-77.0442574 -11.8918383)",Interseccion28,
"POINT (-77.0447187 -11.8915864)",Interseccion29,
"POINT (-77.0431648 -11.8924767)",Interseccion30,
"POINT (-77.0428986 -11.8919843)",Interseccion31,
"POINT (-77.0424419 -11.8922382)",Interseccion32,
"POINT (-77.0426238 -11.892561)",Interseccion33,
"POINT (-77.0431087 -11.8934262)",Interseccion34,
"POINT (-77.0433624 -11.893888)",Interseccion35,
"POINT (-77.0426313 -11.8936781)",Interseccion36,
"POINT (-77.0427332 -11.8942188)",Interseccion37,
"POINT (-77.042347 -11.8939196)",Interseccion38,
